,canton_code,canton,month,language,gender,time_period,count,sentiment
436,BE,Bern,9,English,Unknown,Day,3893,0.17056254816337016
437,BE,Bern,4,German,Male,Day,124,0.9516129032258064
438,BE,Bern,1,English,Male,Day,527,0.03225806451612903
439,FR,Fribourg,5,English,Male,Night,49,0.12244897959183673
440,FR,Fribourg,7,French,Unknown,Day,3,1.0
441,FR,Fribourg,1,French,Male,Day,2,1.0
442,FR,Fribourg,7,English,Male,Day,88,0.05681818181818181
443,FR,Fribourg,9,French,Unknown,Night,8,1.0
444,FR,Fribourg,2,German,Female,Day,1,1.0
445,FR,Fribourg,3,French,Male,Night,4,1.0
446,FR,Fribourg,10,English,Unknown,Night,563,0.2948490230905861
447,FR,Fribourg,9,English,Male,Night,43,0.02325581395348837
448,FR,Fribourg,3,German,Unknown,Night,6,1.0
449,FR,Fribourg,5,French,Male,Day,11,1.0
450,FR,Fribourg,1,English,Female,Night,1,0.0
451,FR,Fribourg,5,German,Unknown,Day,2,1.0
452,FR,Fribourg,2,English,Unknown,Day,188,0.0797872340425532
453,FR,Fribourg,3,English,Female,Day,7,0.42857142857142855
454,FR,Fribourg,7,French,Male,Night,2,1.0
455,FR,Fribourg,4,English,Unknown,Night,216,0.14814814814814814
456,FR,Fribourg,10,French,Unknown,Day,28,1.0
457,FR,Fribourg,5,English,Female,Night,15,0.2
458,FR,Fribourg,9,French,Male,Day,14,1.0
